ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"154.29.227.162","elite","AS134450","US","Aventice LLC","135","Aventice","8081","socks4","5008","1","2024-03-27T05:27:54.203Z","80","5197","6532"
"113.204.4.142","elite","AS4837","CN","CNC Group CHINA169 Chongqing Province Network","184","N/A","10800","socks4","3185","1","2024-03-27T05:27:54.304Z","91","6166","6748"
"167.172.159.43","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","18972","socks4","160","1","2024-03-27T05:27:54.301Z","100","1","1"
"43.134.169.72","elite","AS132203","SG","Aceville Pte.ltd","322","N/A","443","socks5","4508","1","2024-03-27T05:27:54.210Z","90","6034","6707"
"116.8.109.106","elite","AS137693","CN","CHINATELECOM Guangxi Nanning IDC networkdescr: Nanning, Guangxi Province, P.R.","225","Chinanet GX","33080","socks4","5092","1","2024-03-27T05:27:54.297Z","66","4427","6668"
"94.72.9.182","elite","AS8359","RU","MTS PJSC","43","MTS SPB Home P1","80","socks4","4095","1","2024-03-27T05:27:50.796Z","41","2739","6611"
"128.199.93.105","elite","AS14061","SG","DigitalOcean, LLC","197","DigitalOcean, LLC","24115","socks4","1213","1","2024-03-27T05:27:50.804Z","99","6543","6585"
"45.226.0.2","elite","AS266987","BR","Web - Link Telecomunicações e Engenharia","215","Web - Link Telecomunicações e Engenharia","4153","socks4","204","1","2024-03-27T05:27:50.798Z","99","6650","6685"
"104.251.81.87","elite","AS5650","US","Frontier Communications of America, Inc.","82","BraveWay","14778","socks5","3993","1","2024-03-27T05:27:48.100Z","100","6591","6595"
"177.87.230.29","elite","AS262309","BR","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","209","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","43573","socks4","4803","1","2024-03-27T05:27:47.904Z","26","1770","6709"
"106.75.171.132","elite","AS58466","CN","UCLOUD","212","Shanghai UCloud Information Technology Company Limited","3000","socks5","1203","1","2024-03-27T05:27:47.813Z","86","5775","6711"
"94.182.26.44","elite","AS31549","IR","Aria Shatel Company Ltd","125","Shtl NET DED","4153","socks4","3608","1","2024-03-27T05:27:47.895Z","93","6226","6716"
"181.115.152.114","elite","AS6568","BO","Entel S.A. - EntelNet","189","Entel S.A. - EntelNet","4153","socks4","5188","1","2024-03-27T05:27:45.013Z","98","6567","6717"
"193.56.118.1","elite","AS200370","IR","Farzanegan Pars Communications Company PJS","102","Farzanegan Pars Communications Company PJS","1080","socks4","4004","1","2024-03-27T05:27:45.097Z","95","6292","6607"
"103.9.134.148","elite","AS9832","BD","Information Services Network Ltd","251","ISN Gazipur","5678","socks4","122","1","2024-03-27T05:27:45.008Z","97","6505","6735"
"153.99.224.114","elite","AS4837","CN","CHINA UNICOM China169 Backbone","291","Unicom JS","1080","socks5","2604","1","2024-03-27T05:27:45.011Z","90","5961","6596"
"5.189.130.207","elite","AS51167","DE","Contabo GmbH","82","Contabo GmbH","10036","socks4","4903","1","2024-03-27T05:27:45.100Z","99","6615","6659"
"183.89.176.18","elite","AS45629","TH","Triple T Broadband Public Company Limited","179","Triple T Broadband Public Company Limited","4153","socks4","488","2","2024-03-27T05:27:44.608Z","94","6233","6615"
"46.175.4.76","elite","AS39574","SK","Minet s.r.o.","34","Andrex s.r.o","39574","socks5","4509","2","2024-03-27T05:27:44.611Z","100","6658","6680"
"1.179.220.211","elite","AS131293","TH","TOT Public Company Limited","198","Department of Agriculture","7497","socks5","5094","2","2024-03-27T05:27:40.902Z","99","6611","6661"
"82.137.244.59","elite","AS29256","SY","ISP-TARASSUL","57","N/A","4145","socks4","2589","2","2024-03-27T05:27:40.904Z","98","6407","6525"
"43.157.8.159","elite","AS132203","DE","Aceville Pte.ltd","12","N/A","443","socks4","3701","2","2024-03-27T05:27:40.895Z","39","2624","6661"
"200.58.74.6","elite","AS27839","BO","Comteco Ltda","197","Comteco Ltda","5678","socks4","2411","1","2024-03-27T05:27:40.898Z","100","6618","6638"
